t,gt_x,gt_y,gt_z,fused_x,fused_y,fused_z,err_3d,quality
12.05,1.93371,-0.510653,16.025,1.83641,-0.521905,16.0825,0.113588,1
12.1,1.94587,-0.462156,16.05,1.84305,-0.471432,16.1421,0.138332,1
12.15,1.95682,-0.413369,16.075,1.81123,-0.417582,16.1173,0.15166,1
12.2,1.96654,-0.364325,16.1,1.81325,-0.366148,16.1523,0.161975,1
12.25,1.97503,-0.315053,16.125,1.88199,-0.276951,16.1733,0.11155,1
12.3,1.98229,-0.265584,16.15,1.88481,-0.22294,16.1458,0.10648,1
12.35,1.98831,-0.215949,16.175,1.96628,-0.158475,16.1685,0.0618927,1
12.4,1.99308,-0.166179,16.2,1.97162,-0.0979467,16.3449,0.161569,1
12.45,1.99662,-0.116305,16.225,1.91882,-0.0443897,16.2639,0.112848,1
12.5,1.9989,-0.0663584,16.25,1.91822,0.0108477,16.4229,0.205867,1
12.55,1.99993,-0.0163704,16.275,1.99899,-0.0245506,16.4018,0.127051,1
12.6,1.99972,0.0336278,16.3,2.00042,0.0313185,16.502,0.20198,1
12.65,1.99825,0.083605,16.325,2.03565,-0.0161201,16.3741,0.117288,1
12.7,1.99554,0.13353,16.35,2.03613,0.0345241,16.4172,0.126361,1
12.75,1.99158,0.183371,16.375,2.04298,0.239577,16.4507,0.107362,1
12.8,1.98637,0.233098,16.4,2.04095,0.299517,16.4203,0.0883224,1
12.85,1.97992,0.28268,16.425,2.17317,0.482886,16.4847,0.28459,1
12.9,1.97224,0.332084,16.45,2.02819,0.321691,16.4986,0.0748092,1
12.95,1.96332,0.381281,16.475,2.02326,0.36103,16.5195,0.0773765,1
13,1.95318,0.43024,16.5,2.01428,0.419714,16.4845,0.0638985,1
13.05,1.94181,0.47893,16.525,2.00638,0.463465,16.5064,0.0689628,1
13.1,1.92923,0.52732,16.55,1.99449,0.516916,16.3773,0.184914,1
13.15,1.91545,0.575381,16.575,1.98404,0.560192,16.3946,0.193556,1
13.2,1.90047,0.623083,16.6,1.98338,0.56926,16.6634,0.117425,1
13.25,1.8843,0.670395,16.625,1.95791,0.659151,16.6843,0.095219,1
13.3,1.86695,0.717288,16.65,1.94226,0.705864,16.654,0.0762741,1
13.35,1.84844,0.763732,16.675,1.92807,0.751603,16.8475,0.190403,1
13.4,1.82877,0.8097,16.7,1.90865,0.797712,16.7253,0.0846592,2
13.45,1.80795,0.855161,16.725,1.89177,0.838365,16.732,0.0857681,2
13.5,1.78601,0.900088,16.75,1.86989,0.887493,16.7457,0.0849231,2
13.55,1.76295,0.944453,16.775,1.84821,0.931689,16.7329,0.0959235,2
13.6,1.73879,0.988227,16.8,1.82874,0.974997,16.8704,0.114991,2
13.65,1.71355,1.03138,16.825,1.8129,1.00099,16.7942,0.108358,2
13.7,1.68723,1.0739,16.85,1.78263,1.06031,16.9469,0.136631,2
13.75,1.65986,1.11574,16.875,1.60445,0.999122,16.9274,0.139325,1
13.8,1.63145,1.15688,16.9,1.5715,1.03574,16.724,0.221945,1
13.85,1.60202,1.1973,16.925,1.50821,1.23169,16.9317,0.100147,1
13.9,1.57159,1.23697,16.95,1.46806,1.27923,16.8801,0.131885,1
13.95,1.54018,1.27587,16.975,1.46013,1.18701,17.0086,0.124218,1
14,1.5078,1.31397,17,1.42319,1.2217,16.9963,0.125251,1
14.05,1.47449,1.35125,17.025,1.38123,1.28926,16.9663,0.126426,1
14.1,1.44025,1.38769,17.05,1.33793,1.32764,17.0272,0.12081,1
14.15,1.40511,1.42326,17.075,1.43582,1.37913,17.0406,0.0638125,1
14.2,1.36909,1.45794,17.1,1.39803,1.41656,17.0095,0.103653,1
14.25,1.33222,1.49171,17.125,1.4068,1.41824,17.1119,0.105501,1
14.3,1.29452,1.52454,17.15,1.37715,1.59562,17.1783,0.112623,1
14.35,1.256,1.55643,17.175,1.35341,1.62189,17.1968,0.119369,1
14.4,1.2167,1.58734,17.2,1.30788,1.66943,17.1137,0.149982,1
14.45,1.17664,1.61725,17.225,1.15007,1.68687,17.2011,0.0782475,1
14.5,1.13585,1.64616,17.25,1.10292,1.72421,17.2434,0.084967,1
14.55,1.09434,1.67404,17.275,1.30188,1.60599,17.1409,0.256271,1
14.6,1.05216,1.70087,17.3,1.29563,1.61102,17.2011,0.277738,1
14.65,1.00931,1.72664,17.325,0.957746,1.59009,17.1869,0.200968,1
14.7,0.965832,1.75133,17.35,0.905427,1.61052,17.248,0.18407,1
14.75,0.921751,1.77493,17.375,0.954343,1.69178,17.3983,0.0923033,1
14.8,0.877095,1.79742,17.4,0.928222,1.70371,17.4989,0.145489,1
14.85,0.83189,1.81878,17.425,0.831316,1.73168,17.3282,0.130194,1
14.9,0.786165,1.83901,17.45,0.784626,1.74894,17.4656,0.0914244,1
14.95,0.739949,1.85808,17.475,0.655538,2.02233,17.4047,0.197608,1
15,0.693271,1.876,17.5,0.60289,2.05012,17.2792,0.295372,1
